CookerStat, GenerateAssetRegistry=0.018429, Initialize=0.105616, RunGuid=RunID1E4147724BFFA5027EC3E894E03C6929
DDCTransactionId79565C924388750EEF2409AD3168C234_0, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_3AB14A3F486398B0F5C53DACA6D4A271, StartTime=2016.06.21-02.26.14, HierarchicalDDC=, DataSize=170213, Duration=1.122285, RunGuid=RunID1E4147724BFFA5027EC3E894E03C6929
DDCTransactionId79565C924388750EEF2409AD3168C234_1, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_C03BB9C44047F90E5C8D559F64A10723, StartTime=2016.06.21-02.26.28, HierarchicalDDC=, DataSize=170213, Duration=2.285529, RunGuid=RunID1E4147724BFFA5027EC3E894E03C6929
DDCTransactionIdC37F75534786C26A5AA697BABECE0C1A_0, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_0061D9DF40B5972F613D55964F7F4D45, StartTime=2016.06.21-02.26.48, HierarchicalDDC=, DataSize=170213, Duration=1.460783, RunGuid=RunID1E4147724BFFA5027EC3E894E03C6929
DDCTransactionId79565C924388750EEF2409AD3168C234_2, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_97AA079944137F8529FEFCA5474A2114, StartTime=2016.06.21-02.33.46, HierarchicalDDC=, DataSize=170213, Duration=1.174651, RunGuid=RunID1E4147724BFFA5027EC3E894E03C6929
SavePackageTransactionIdA253F13E4507D07CE28AB982FC5823C7_0, Filename=../../../../../../Users/Sharpe/Documents/GitHub/PonyKart-UE4/PonyKart Project Build/PonyKart/Content/Levels/KartTestLevel.umap, AutoPackageBackupDelegate=17.417063, FlushAsyncLoading=0.012580, FlushStreamingFunc=0.069048, BlockTillAllRequestsFinished=0.005264, ResetLoadersForSaveUnMarkAllObjects=36.516682, TagPackageExports=28.250803, BeginCacheForCookedPlatformData=0.005558, SerializeImports=36.524288, GatherLocalizableTextData=269.627472, MarkNames=1.147445, SerializeSummary=0.020478, SerializeNames=0.470154, SerializeGatherableTextData=0.019602, BuildExportMap=0.787590, SortExportsNonSeekfree=42.082466, SortExportsSeekfreeConstructor=0.103861, SortExportsSeekfreeInner=115.014305, SortExportsSeekfree=0.007607, BuildDependencyMap=2.173770, SerializeImportMap=0.054710, SerializeExportMap=0.609707, SerializeDependencyMap=0.215329, SerializeStringAssetReferenceMap=0.003509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.086212, SerializeExports=134.030243, SerializeBulkData=406.528961, MoveFile=2.621688, UnaccountedTime=1.170266, RunGuid=RunID1E4147724BFFA5027EC3E894E03C6929
DDCTransactionId10EE198F490CA9FB8022B38F7FFC33A5_0, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_75445EF3763DF4B24B67AA6A1A436D43, StartTime=2016.06.21-02.37.33, HierarchicalDDC=, DataSize=4198, Duration=0.072263, RunGuid=RunID1E4147724BFFA5027EC3E894E03C6929
DDCTransactionIdC37F75534786C26A5AA697BABECE0C1A_1, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_FE2A12D143BDF6BB11BD11A3F54A0D99, StartTime=2016.06.21-02.37.33, HierarchicalDDC=, DataSize=4198, Duration=0.068754, RunGuid=RunID1E4147724BFFA5027EC3E894E03C6929
DDCTransactionId79565C924388750EEF2409AD3168C234_3, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_D7016C0D1F5725642319AE83F019A048, StartTime=2016.06.21-02.37.33, HierarchicalDDC=, DataSize=4198, Duration=0.062607, RunGuid=RunID1E4147724BFFA5027EC3E894E03C6929
DDCTransactionId10EE198F490CA9FB8022B38F7FFC33A5_1, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_DDA0CAC644A9BC010DC643AB76EEEEBE, StartTime=2016.06.21-02.37.33, HierarchicalDDC=, DataSize=4198, Duration=0.025745, RunGuid=RunID1E4147724BFFA5027EC3E894E03C6929
DDCTransactionId79565C924388750EEF2409AD3168C234_4, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_ED984FA5CD07BE8A46F65F8CD69B87A2, StartTime=2016.06.21-02.37.33, HierarchicalDDC=, DataSize=4198, Duration=0.026625, RunGuid=RunID1E4147724BFFA5027EC3E894E03C6929
DDCTransactionIdC37F75534786C26A5AA697BABECE0C1A_2, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_B8DB8C0F48F1DB8DCEBF74A6D5B303B6, StartTime=2016.06.21-02.37.33, HierarchicalDDC=, DataSize=4198, Duration=0.026625, RunGuid=RunID1E4147724BFFA5027EC3E894E03C6929
